コード,銘柄名,規模区分
3382,セブン＆アイ・ホールディングス,TOPIX Core30
4063,信越化学工業,TOPIX Core30
4502,武田薬品工業,TOPIX Core30
4503,アステラス製薬,TOPIX Core30
4568,第一三共,TOPIX Core30
6098,リクルートホールディングス,TOPIX Core30
6273,ＳＭＣ,TOPIX Core30
6367,ダイキン工業,TOPIX Core30
6501,日立製作所,TOPIX Core30
6594,ニデック,TOPIX Core30
6758,ソニーグループ,TOPIX Core30
6861,キーエンス,TOPIX Core30
6954,ファナック,TOPIX Core30
6981,村田製作所,TOPIX Core30
7203,トヨタ自動車,TOPIX Core30
7267,本田技研工業,TOPIX Core30
7741,ＨＯＹＡ,TOPIX Core30
7974,任天堂,TOPIX Core30
8001,伊藤忠商事,TOPIX Core30
8031,三井物産,TOPIX Core30
8035,東京エレクトロン,TOPIX Core30
8058,三菱商事,TOPIX Core30
8306,三菱ＵＦＪフィナンシャル・グループ,TOPIX Core30
8316,三井住友フィナンシャルグループ,TOPIX Core30
8411,みずほフィナンシャルグループ,TOPIX Core30
8766,東京海上ホールディングス,TOPIX Core30
9432,日本電信電話,TOPIX Core30
9433,ＫＤＤＩ,TOPIX Core30
9434,ソフトバンク,TOPIX Core30
9984,ソフトバンクグループ,TOPIX Core30
1925,大和ハウス工業,TOPIX Large70
1928,積水ハウス,TOPIX Large70
2413,エムスリー,TOPIX Large70
2502,アサヒグループホールディングス,TOPIX Large70
2503,キリンホールディングス,TOPIX Large70
2802,味の素,TOPIX Large70
2914,日本たばこ産業,TOPIX Large70
3402,東レ,TOPIX Large70
3407,旭化成,TOPIX Large70
4188,三菱ケミカルグループ,TOPIX Large70
4452,花王,TOPIX Large70
4507,塩野義製薬,TOPIX Large70
4519,中外製薬,TOPIX Large70
4523,エーザイ,TOPIX Large70
4528,小野薬品工業,TOPIX Large70
4543,テルモ,TOPIX Large70
4578,大塚ホールディングス,TOPIX Large70
4661,オリエンタルランド,TOPIX Large70
4689,Ｚホールディングス,TOPIX Large70
4901,富士フイルムホールディングス,TOPIX Large70
4911,資生堂,TOPIX Large70
5020,ＥＮＥＯＳホールディングス,TOPIX Large70
5108,ブリヂストン,TOPIX Large70
5401,日本製鉄,TOPIX Large70
5713,住友金属鉱山,TOPIX Large70
5802,住友電気工業,TOPIX Large70
6178,日本郵政,TOPIX Large70
6301,小松製作所,TOPIX Large70
6326,クボタ,TOPIX Large70
6502,東芝,TOPIX Large70
6503,三菱電機,TOPIX Large70
6645,オムロン,TOPIX Large70
6702,富士通,TOPIX Large70
6723,ルネサスエレクトロニクス,TOPIX Large70
6752,パナソニック　ホールディングス,TOPIX Large70
6869,シスメックス,TOPIX Large70
6902,デンソー,TOPIX Large70
6920,レーザーテック,TOPIX Large70
6971,京セラ,TOPIX Large70
7011,三菱重工業,TOPIX Large70
7201,日産自動車,TOPIX Large70
7269,スズキ,TOPIX Large70
7270,ＳＵＢＡＲＵ,TOPIX Large70
7309,シマノ,TOPIX Large70
7733,オリンパス,TOPIX Large70
7751,キヤノン,TOPIX Large70
7832,バンダイナムコホールディングス,TOPIX Large70
8002,丸紅,TOPIX Large70
8053,住友商事,TOPIX Large70
8113,ユニ・チャーム,TOPIX Large70
8267,イオン,TOPIX Large70
8308,りそなホールディングス,TOPIX Large70
8309,三井住友トラスト・ホールディングス,TOPIX Large70
8591,オリックス,TOPIX Large70
8604,野村ホールディングス,TOPIX Large70
8630,ＳＯＭＰＯホールディングス,TOPIX Large70
8697,日本取引所グループ,TOPIX Large70
8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,TOPIX Large70
8750,第一生命ホールディングス,TOPIX Large70
8801,三井不動産,TOPIX Large70
8802,三菱地所,TOPIX Large70
8830,住友不動産,TOPIX Large70
9020,東日本旅客鉄道,TOPIX Large70
9021,西日本旅客鉄道,TOPIX Large70
9022,東海旅客鉄道,TOPIX Large70
9101,日本郵船,TOPIX Large70
9202,ＡＮＡホールディングス,TOPIX Large70
9735,セコム,TOPIX Large70
9843,ニトリホールディングス,TOPIX Large70
9983,ファーストリテイリング,TOPIX Large70
1332,ニッスイ,TOPIX Mid400
1333,マルハニチロ,TOPIX Mid400
1414,ショーボンドホールディングス,TOPIX Mid400
1417,ミライト・ワン,TOPIX Mid400
1605,ＩＮＰＥＸ,TOPIX Mid400
1721,コムシスホールディングス,TOPIX Mid400
1801,大成建設,TOPIX Mid400
1802,大林組,TOPIX Mid400
1803,清水建設,TOPIX Mid400
1808,長谷工コーポレーション,TOPIX Mid400
1812,鹿島建設,TOPIX Mid400
1820,西松建設,TOPIX Mid400
1860,戸田建設,TOPIX Mid400
1878,大東建託,TOPIX Mid400
1893,五洋建設,TOPIX Mid400
1911,住友林業,TOPIX Mid400
1944,きんでん,TOPIX Mid400
1951,エクシオグループ,TOPIX Mid400
1959,九電工,TOPIX Mid400
1963,日揮ホールディングス,TOPIX Mid400
2002,日清製粉グループ本社,TOPIX Mid400
2127,日本Ｍ＆Ａセンターホールディングス,TOPIX Mid400
2175,エス・エム・エス,TOPIX Mid400
2181,パーソルホールディングス,TOPIX Mid400
2201,森永製菓,TOPIX Mid400
2206,江崎グリコ,TOPIX Mid400
2212,山崎製パン,TOPIX Mid400
2229,カルビー,TOPIX Mid400
2264,森永乳業,TOPIX Mid400
2267,ヤクルト本社,TOPIX Mid400
2269,明治ホールディングス,TOPIX Mid400
2282,日本ハム,TOPIX Mid400
2331,綜合警備保障,TOPIX Mid400
2371,カカクコム,TOPIX Mid400
2412,ベネフィット・ワン,TOPIX Mid400
2427,アウトソーシング,TOPIX Mid400
2432,ディー・エヌ・エー,TOPIX Mid400
2433,博報堂ＤＹホールディングス,TOPIX Mid400
2501,サッポロホールディングス,TOPIX Mid400
2531,宝ホールディングス,TOPIX Mid400
2579,コカ・コーラ　ボトラーズジャパンホールディングス,TOPIX Mid400
2587,サントリー食品インターナショナル,TOPIX Mid400
2593,伊藤園,TOPIX Mid400
2607,不二製油グループ本社,TOPIX Mid400
2651,ローソン,TOPIX Mid400
2670,エービーシー・マート,TOPIX Mid400
2768,双日,TOPIX Mid400
2784,アルフレッサ　ホールディングス,TOPIX Mid400
2801,キッコーマン,TOPIX Mid400
2809,キユーピー,TOPIX Mid400
2810,ハウス食品グループ本社,TOPIX Mid400
2811,カゴメ,TOPIX Mid400
2815,アリアケジャパン,TOPIX Mid400
2871,ニチレイ,TOPIX Mid400
2875,東洋水産,TOPIX Mid400
2897,日清食品ホールディングス,TOPIX Mid400
3003,ヒューリック,TOPIX Mid400
3038,神戸物産,TOPIX Mid400
3064,ＭｏｎｏｔａＲＯ,TOPIX Mid400
3086,Ｊ．フロント　リテイリング,TOPIX Mid400
3088,マツキヨココカラ＆カンパニー,TOPIX Mid400
3092,ＺＯＺＯ,TOPIX Mid400
3099,三越伊勢丹ホールディングス,TOPIX Mid400
3101,東洋紡,TOPIX Mid400
3105,日清紡ホールディングス,TOPIX Mid400
3107,ダイワボウホールディングス,TOPIX Mid400
3116,トヨタ紡織,TOPIX Mid400
3141,ウエルシアホールディングス,TOPIX Mid400
3197,すかいらーくホールディングス,TOPIX Mid400
3231,野村不動産ホールディングス,TOPIX Mid400
3288,オープンハウスグループ,TOPIX Mid400
3289,東急不動産ホールディングス,TOPIX Mid400
3291,飯田グループホールディングス,TOPIX Mid400
3349,コスモス薬品,TOPIX Mid400
3360,シップヘルスケアホールディングス,TOPIX Mid400
3391,ツルハホールディングス,TOPIX Mid400
3401,帝人,TOPIX Mid400
3405,クラレ,TOPIX Mid400
3436,ＳＵＭＣＯ,TOPIX Mid400
3549,クスリのアオキホールディングス,TOPIX Mid400
3563,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,TOPIX Mid400
3591,ワコールホールディングス,TOPIX Mid400
3626,ＴＩＳ,TOPIX Mid400
3635,コーエーテクモホールディングス,TOPIX Mid400
3659,ネクソン,TOPIX Mid400
3697,ＳＨＩＦＴ,TOPIX Mid400
3765,ガンホー・オンライン・エンターテイメント,TOPIX Mid400
3769,ＧＭＯペイメントゲートウェイ,TOPIX Mid400
3774,インターネットイニシアティブ,TOPIX Mid400
3861,王子ホールディングス,TOPIX Mid400
3880,大王製紙,TOPIX Mid400
3923,ラクス,TOPIX Mid400
3941,レンゴー,TOPIX Mid400
3994,マネーフォワード,TOPIX Mid400
4004,レゾナック・ホールディングス,TOPIX Mid400
4005,住友化学,TOPIX Mid400
4021,日産化学,TOPIX Mid400
4042,東ソー,TOPIX Mid400
4043,トクヤマ,TOPIX Mid400
4045,東亞合成,TOPIX Mid400
4061,デンカ,TOPIX Mid400
4062,イビデン,TOPIX Mid400
4088,エア・ウォーター,TOPIX Mid400
4091,日本酸素ホールディングス,TOPIX Mid400
4114,日本触媒,TOPIX Mid400
4118,カネカ,TOPIX Mid400
4151,協和キリン,TOPIX Mid400
4182,三菱瓦斯化学,TOPIX Mid400
4183,三井化学,TOPIX Mid400
4185,ＪＳＲ,TOPIX Mid400
4186,東京応化工業,TOPIX Mid400
4202,ダイセル,TOPIX Mid400
4203,住友ベークライト,TOPIX Mid400
4204,積水化学工業,TOPIX Mid400
4205,日本ゼオン,TOPIX Mid400
4206,アイカ工業,TOPIX Mid400
4208,ＵＢＥ,TOPIX Mid400
4272,日本化薬,TOPIX Mid400
4307,野村総合研究所,TOPIX Mid400
4324,電通グループ,TOPIX Mid400
4385,メルカリ,TOPIX Mid400
4401,ＡＤＥＫＡ,TOPIX Mid400
4403,日油,TOPIX Mid400
4443,Ｓａｎｓａｎ,TOPIX Mid400
4483,ＪＭＤＣ,TOPIX Mid400
4506,住友ファーマ,TOPIX Mid400
4516,日本新薬,TOPIX Mid400
4521,科研製薬,TOPIX Mid400
4527,ロート製薬,TOPIX Mid400
4530,久光製薬,TOPIX Mid400
4536,参天製薬,TOPIX Mid400
4540,ツムラ,TOPIX Mid400
4544,Ｈ．Ｕ．グループホールディングス,TOPIX Mid400
4552,ＪＣＲファーマ,TOPIX Mid400
4581,大正製薬ホールディングス,TOPIX Mid400
4587,ペプチドリーム,TOPIX Mid400
4612,日本ペイントホールディングス,TOPIX Mid400
4613,関西ペイント,TOPIX Mid400
4631,ＤＩＣ,TOPIX Mid400
4665,ダスキン,TOPIX Mid400
4666,パーク２４,TOPIX Mid400
4676,フジ・メディア・ホールディングス,TOPIX Mid400
4681,リゾートトラスト,TOPIX Mid400
4684,オービック,TOPIX Mid400
4686,ジャストシステム,TOPIX Mid400
4704,トレンドマイクロ,TOPIX Mid400
4716,日本オラクル,TOPIX Mid400
4732,ユー・エス・エス,TOPIX Mid400
4739,伊藤忠テクノソリューションズ,TOPIX Mid400
4751,サイバーエージェント,TOPIX Mid400
4755,楽天グループ,TOPIX Mid400
4768,大塚商会,TOPIX Mid400
4887,サワイグループホールディングス,TOPIX Mid400
4902,コニカミノルタ,TOPIX Mid400
4912,ライオン,TOPIX Mid400
4919,ミルボン,TOPIX Mid400
4921,ファンケル,TOPIX Mid400
4922,コーセー,TOPIX Mid400
4927,ポーラ・オルビスホールディングス,TOPIX Mid400
4967,小林製薬,TOPIX Mid400
4980,デクセリアルズ,TOPIX Mid400
5019,出光興産,TOPIX Mid400
5021,コスモエネルギーホールディングス,TOPIX Mid400
5076,インフロニア・ホールディングス,TOPIX Mid400
5101,横浜ゴム,TOPIX Mid400
5105,ＴＯＹＯ　ＴＩＲＥ,TOPIX Mid400
5110,住友ゴム工業,TOPIX Mid400
5201,ＡＧＣ,TOPIX Mid400
5214,日本電気硝子,TOPIX Mid400
5232,住友大阪セメント,TOPIX Mid400
5233,太平洋セメント,TOPIX Mid400
5301,東海カーボン,TOPIX Mid400
5332,ＴＯＴＯ,TOPIX Mid400
5333,日本碍子,TOPIX Mid400
5334,日本特殊陶業,TOPIX Mid400
5406,神戸製鋼所,TOPIX Mid400
5411,ＪＦＥホールディングス,TOPIX Mid400
5444,大和工業,TOPIX Mid400
5463,丸一鋼管,TOPIX Mid400
5471,大同特殊鋼,TOPIX Mid400
5631,日本製鋼所,TOPIX Mid400
5706,三井金属鉱業,TOPIX Mid400
5711,三菱マテリアル,TOPIX Mid400
5714,ＤＯＷＡホールディングス,TOPIX Mid400
5801,古河電気工業,TOPIX Mid400
5803,フジクラ,TOPIX Mid400
5830,いよぎんホールディングス,TOPIX Mid400
5831,しずおかフィナンシャルグループ,TOPIX Mid400
5832,ちゅうぎんフィナンシャルグループ,TOPIX Mid400
5901,東洋製罐グループホールディングス,TOPIX Mid400
5929,三和ホールディングス,TOPIX Mid400
5938,ＬＩＸＩＬ,TOPIX Mid400
5947,リンナイ,TOPIX Mid400
5991,日本発條,TOPIX Mid400
6005,三浦工業,TOPIX Mid400
6028,テクノプロ・ホールディングス,TOPIX Mid400
6103,オークマ,TOPIX Mid400
6113,アマダ,TOPIX Mid400
6134,ＦＵＪＩ,TOPIX Mid400
6136,オーエスジー,TOPIX Mid400
6141,ＤＭＧ森精機,TOPIX Mid400
6146,ディスコ,TOPIX Mid400
6201,豊田自動織機,TOPIX Mid400
6268,ナブテスコ,TOPIX Mid400
6302,住友重機械工業,TOPIX Mid400
6305,日立建機,TOPIX Mid400
6361,荏原製作所,TOPIX Mid400
6370,栗田工業,TOPIX Mid400
6383,ダイフク,TOPIX Mid400
6395,タダノ,TOPIX Mid400
6406,フジテック,TOPIX Mid400
6417,ＳＡＮＫＹＯ,TOPIX Mid400
6436,アマノ,TOPIX Mid400
6448,ブラザー工業,TOPIX Mid400
6457,グローリー,TOPIX Mid400
6460,セガサミーホールディングス,TOPIX Mid400
6465,ホシザキ,TOPIX Mid400
6471,日本精工,TOPIX Mid400
6472,ＮＴＮ,TOPIX Mid400
6473,ジェイテクト,TOPIX Mid400
6479,ミネベアミツミ,TOPIX Mid400
6481,ＴＨＫ,TOPIX Mid400
6504,富士電機,TOPIX Mid400
6506,安川電機,TOPIX Mid400
6532,ベイカレント・コンサルティング,TOPIX Mid400
6586,マキタ,TOPIX Mid400
6592,マブチモーター,TOPIX Mid400
6674,ジーエス・ユアサ　コーポレーション,TOPIX Mid400
6701,日本電気,TOPIX Mid400
6724,セイコーエプソン,TOPIX Mid400
6728,アルバック,TOPIX Mid400
6753,シャープ,TOPIX Mid400
6754,アンリツ,TOPIX Mid400
6755,富士通ゼネラル,TOPIX Mid400
6762,ＴＤＫ,TOPIX Mid400
6770,アルプスアルパイン,TOPIX Mid400
6806,ヒロセ電機,TOPIX Mid400
6841,横河電機,TOPIX Mid400
6845,アズビル,TOPIX Mid400
6849,日本光電工業,TOPIX Mid400
6856,堀場製作所,TOPIX Mid400
6857,アドバンテスト,TOPIX Mid400
6923,スタンレー電気,TOPIX Mid400
6925,ウシオ電機,TOPIX Mid400
6951,日本電子,TOPIX Mid400
6952,カシオ計算機,TOPIX Mid400
6963,ローム,TOPIX Mid400
6965,浜松ホトニクス,TOPIX Mid400
6967,新光電気工業,TOPIX Mid400
6976,太陽誘電,TOPIX Mid400
6988,日東電工,TOPIX Mid400
7012,川崎重工業,TOPIX Mid400
7013,ＩＨＩ,TOPIX Mid400
7164,全国保証,TOPIX Mid400
7167,めぶきフィナンシャルグループ,TOPIX Mid400
7180,九州フィナンシャルグループ,TOPIX Mid400
7181,かんぽ生命保険,TOPIX Mid400
7182,ゆうちょ銀行,TOPIX Mid400
7186,コンコルディア・フィナンシャルグループ,TOPIX Mid400
7202,いすゞ自動車,TOPIX Mid400
7205,日野自動車,TOPIX Mid400
7211,三菱自動車工業,TOPIX Mid400
7240,ＮＯＫ,TOPIX Mid400
7259,アイシン,TOPIX Mid400
7261,マツダ,TOPIX Mid400
7272,ヤマハ発動機,TOPIX Mid400
7276,小糸製作所,TOPIX Mid400
7282,豊田合成,TOPIX Mid400
7313,テイ・エス　テック,TOPIX Mid400
7337,ひろぎんホールディングス,TOPIX Mid400
7453,良品計画,TOPIX Mid400
7458,第一興商,TOPIX Mid400
7459,メディパルホールディングス,TOPIX Mid400
7476,アズワン,TOPIX Mid400
7518,ネットワンシステムズ,TOPIX Mid400
7532,パン・パシフィック・インターナショナルホールディングス,TOPIX Mid400
7550,ゼンショーホールディングス,TOPIX Mid400
7616,コロワイド,TOPIX Mid400
7649,スギホールディングス,TOPIX Mid400
7701,島津製作所,TOPIX Mid400
7730,マニー,TOPIX Mid400
7731,ニコン,TOPIX Mid400
7732,トプコン,TOPIX Mid400
7735,ＳＣＲＥＥＮホールディングス,TOPIX Mid400
7747,朝日インテック,TOPIX Mid400
7752,リコー,TOPIX Mid400
7780,メニコン,TOPIX Mid400
7846,パイロットコーポレーション,TOPIX Mid400
7911,凸版印刷,TOPIX Mid400
7912,大日本印刷,TOPIX Mid400
7936,アシックス,TOPIX Mid400
7947,エフピコ,TOPIX Mid400
7951,ヤマハ,TOPIX Mid400
7956,ピジョン,TOPIX Mid400
7966,リンテック,TOPIX Mid400
7984,コクヨ,TOPIX Mid400
7988,ニフコ,TOPIX Mid400
8012,長瀬産業,TOPIX Mid400
8015,豊田通商,TOPIX Mid400
8056,ＢＩＰＲＯＧＹ,TOPIX Mid400
8060,キヤノンマーケティングジャパン,TOPIX Mid400
8086,ニプロ,TOPIX Mid400
8088,岩谷産業,TOPIX Mid400
8111,ゴールドウイン,TOPIX Mid400
8129,東邦ホールディングス,TOPIX Mid400
8136,サンリオ,TOPIX Mid400
8174,日本瓦斯,TOPIX Mid400
8227,しまむら,TOPIX Mid400
8233,高島屋,TOPIX Mid400
8252,丸井グループ,TOPIX Mid400
8253,クレディセゾン,TOPIX Mid400
8273,イズミ,TOPIX Mid400
8279,ヤオコー,TOPIX Mid400
8282,ケーズホールディングス,TOPIX Mid400
8283,ＰＡＬＴＡＣ,TOPIX Mid400
8303,ＳＢＩ新生銀行,TOPIX Mid400
8304,あおぞら銀行,TOPIX Mid400
8331,千葉銀行,TOPIX Mid400
8334,群馬銀行,TOPIX Mid400
8354,ふくおかフィナンシャルグループ,TOPIX Mid400
8359,八十二銀行,TOPIX Mid400
8369,京都銀行,TOPIX Mid400
8377,ほくほくフィナンシャルグループ,TOPIX Mid400
8410,セブン銀行,TOPIX Mid400
8418,山口フィナンシャルグループ,TOPIX Mid400
8439,東京センチュリー,TOPIX Mid400
8473,ＳＢＩホールディングス,TOPIX Mid400
8570,イオンフィナンシャルサービス,TOPIX Mid400
8572,アコム,TOPIX Mid400
8593,三菱ＨＣキャピタル,TOPIX Mid400
8595,ジャフコ　グループ,TOPIX Mid400
8601,大和証券グループ本社,TOPIX Mid400
8795,Ｔ＆Ｄホールディングス,TOPIX Mid400
8804,東京建物,TOPIX Mid400
8876,リログループ,TOPIX Mid400
8905,イオンモール,TOPIX Mid400
