,Close_3ma_positive,Close_5ma_positive,Close_10ma_positive,Close_15ma_positive,Close_25ma_positive,Close_60ma_positive,Close_80ma_positive,Close_100ma_positive,Close_200ma_positive,ó\ëzè„è∏ó¶,ó\ëzâ∫óéó¶,óÇì˙ÇÃç≈à¿íl,óÇì˙ÇÃç≈çÇíl,ÉgÉäÉKÅ[
0,-1,-1,-1,-1,-1,-1,-1,-1,-1,,96.6,,100.975,Å¢ 3ma 5ma:change
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,94.89999999999999,,101.0,Å¢ 3ma 10ma:change
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,,96.66666666666667,,101.7,Å¢ 3ma 15ma:change
3,-1,-1,-1,-1,-1,-1,-1,-1,-1,,95.5,,101.2,Å¢ 3ma 25ma:change
4,-1,-1,-1,-1,-1,-1,-1,-1,-1,,98.35,,101.55,Å¢ 3ma 60ma:change
5,-1,-1,-1,-1,-1,-1,-1,-1,-1,,101.2,,101.89999999999999,Å¢ 3ma 80ma:change
6,-1,-1,-1,-1,-1,-1,-1,-1,-1,,100.1,,101.6,Å¢ 3ma 100ma:change
7,-1,-1,-1,-1,-1,-1,-1,-1,-1,,106.2,,107.1,Å¢ 3ma 200ma:change
8,-1,-1,-1,-1,-1,-1,-1,-1,-1,,98.1,,101.44999999999999,Å¢ 5ma 10ma:change
9,-1,-1,-1,-1,-1,-1,-1,-1,-1,101.1,,99.25,,+ 5ma 15ma:change
10,-1,-1,-1,-1,-1,-1,-1,-1,-1,,98.97999999999999,,102.32,Å¢ 5ma 15ma:change
11,-1,-1,-1,-1,-1,-1,-1,-1,-1,,98.06666666666666,,100.76666666666665,Å¢ 5ma 25ma:change
12,-1,-1,-1,-1,-1,-1,-1,-1,-1,,94.5,,100.0,Å¢ 5ma 60ma:change
13,-1,-1,-1,-1,-1,-1,-1,-1,-1,,95.5,,101.2,Å¢ 5ma 80ma:change
14,-1,-1,-1,-1,-1,-1,-1,-1,-1,,97.8,,101.4,Å¢ 5ma 100ma:change
15,-1,-1,-1,-1,-1,-1,-1,-1,-1,111.00000000000001,,103.60000000000001,,+ 10ma 15ma:change
16,-1,-1,-1,-1,-1,-1,-1,-1,-1,,96.64,,100.73999999999998,Å¢ 10ma 15ma:change
17,-1,-1,-1,-1,-1,-1,-1,-1,-1,,96.3,,98.80000000000001,Å¢ 10ma 25ma:change
18,-1,-1,-1,-1,-1,-1,-1,-1,-1,,96.3,,99.7,Å¢ 10ma 60ma:change
19,-1,-1,-1,-1,-1,-1,-1,-1,-1,,95.5,,101.2,Å¢ 10ma 80ma:change
20,-1,-1,-1,-1,-1,-1,-1,-1,-1,,94.5,,100.0,Å¢ 10ma 100ma:change
21,-1,-1,-1,-1,-1,-1,-1,-1,-1,,84.8,,97.7,Å¢ 10ma 200ma:change
22,-1,-1,-1,-1,-1,-1,-1,-1,-1,,98.65,,99.9,Å¢ 15ma 25ma:change
23,-1,-1,-1,-1,-1,-1,-1,-1,-1,,97.05,,98.69999999999999,Å¢ 15ma 60ma:change
24,-1,-1,-1,-1,-1,-1,-1,-1,-1,,106.2,,107.1,Å¢ 15ma 80ma:change
25,-1,-1,-1,-1,-1,-1,-1,-1,-1,,84.8,,97.7,Å¢ 15ma 100ma:change
26,-1,-1,-1,-1,-1,-1,-1,-1,-1,,90.10000000000001,,101.89999999999999,Å¢ 15ma 200ma:change
27,-1,-1,-1,-1,-1,-1,-1,-1,-1,,93.16666666666667,,99.23333333333335,Å¢ 25ma 60ma:change
28,-1,-1,-1,-1,-1,-1,-1,-1,-1,,92.10000000000001,,102.0,Å¢ 25ma 80ma:change
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,,90.10000000000001,,101.89999999999999,Å¢ 25ma 100ma:change
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,,105.0,,105.5,Å¢ 25ma 200ma:change
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,103.8,,100.4,,+ 60ma 80ma:change
32,-1,-1,-1,-1,-1,-1,-1,-1,-1,,103.15,,108.8,Å¢ 60ma 80ma:change
