Close,High,Low,Open,Volume,predicted_up_rate,predicted_Low_rate,Close_3ma,Close_3ma_positive,Close_5ma,Close_5ma_positive,Close_10ma,Close_10ma_positive,Close_25ma,Close_25ma_positive,Close_60ma,Close_60ma_positive,Close_100ma,Close_100ma_positive,Close_200ma,Close_200ma_positive
658.757,661.714,649.888,655.801,340889.0482,100.0,97.8,658.8,1,658.8,-1,650.8,1,657.2,-1,653.8,1,636.4,1,585.8,-1
587.837,617.398,584.911,611.489,586995.0184,101.0,100.0,600.6,-1,603.2,-1,619.5,-1,635.2,-1,649.7,-1,642.5,1,589.0,-1
593.75,602.619,587.837,602.619,229176.5145,98.0,96.0,596.7,-1,598.5,-1,613.0,-1,634.2,-1,649.2,-1,642.8,1,589.0,-1
576.042,593.75,570.129,593.75,379482.9317,101.0,97.89999999999999,585.9,-1,594.3,-1,605.0,-1,632.4,-1,648.3,-1,642.7,-1,588.9,-1
567.173,578.998,564.216,564.216,298576.6676,102.60000000000001,95.8,579.0,-1,586.7,-1,597.0,-1,629.4,-1,647.2,-1,642.5,-1,588.8,-1
558.306,567.173,543.555,561.262,504396.7737,104.2,96.8,567.2,-1,576.6,-1,592.3,-1,626.3,-1,645.9,-1,642.0,-1,588.6,-1
581.955,593.75,540.599,546.512,718001.2771,94.89999999999999,94.39999999999999,569.1,1,575.4,-1,589.3,-1,624.5,-1,644.7,-1,641.9,-1,588.5,-1
549.437,576.042,549.437,561.262,313807.7092,100.49999999999999,95.19999999999999,563.2,-1,566.6,-1,582.5,-1,621.4,-1,642.9,-1,641.4,-1,588.2,-1
552.393,552.393,522.86,534.686,551112.8072,98.9,95.7,561.3,-1,561.9,-1,578.1,-1,617.9,-1,641.5,-1,640.8,-1,588.1,-1
531.73,546.512,528.773,546.512,333442.4038,102.8,99.4,544.5,-1,554.8,-1,570.7,-1,613.4,-1,639.9,-1,639.8,-1,587.8,-1
546.512,561.262,528.773,531.73,927546.3138,97.8,97.3,543.5,-1,552.4,-1,564.5,-1,608.2,-1,638.5,-1,639.0,-1,587.6,-1
534.686,543.555,531.73,531.73,257953.0508,96.7,96.7,537.6,-1,543.0,-1,559.2,-1,603.1,-1,636.7,-1,638.2,-1,587.5,-1
516.947,528.773,516.947,519.904,253890.3674,98.9,97.7,532.7,-1,536.5,-1,551.5,-1,597.5,-1,634.9,-1,637.4,-1,587.3,-1
511.034,513.991,505.152,511.034,263032.2091,98.3,85.6,520.9,-1,528.2,-1,545.0,-1,591.4,-1,632.6,-1,636.4,-1,587.0,-1
469.678,496.283,437.191,437.191,728159.5938,106.89999999999999,98.1,499.2,-1,515.8,-1,535.3,-1,584.1,-1,629.8,-1,635.0,-1,586.6,-1
466.721,478.547,460.84,469.678,396068.2012,107.60000000000001,100.6,482.5,-1,499.8,-1,526.1,-1,576.4,-1,626.9,-1,633.5,-1,586.1,-1
502.196,502.196,469.678,469.678,817525.7607,94.1,91.2,479.5,-1,493.3,-1,518.1,-1,570.1,-1,624.5,-1,632.2,-1,585.9,-1
460.84,490.373,457.884,490.373,415702.8957,102.60000000000001,100.0,476.6,-1,482.1,-1,509.3,-1,562.2,-1,621.1,-1,630.3,-1,585.4,-1
472.634,484.46,460.84,460.84,732219.0605,103.8,97.5,478.6,1,474.4,-1,501.3,-1,554.9,-1,617.9,-1,628.4,-1,585.0,-1
460.84,487.416,460.84,475.591,737635.9716,107.0,96.8,464.8,-1,472.6,-1,494.2,-1,547.4,-1,614.1,-1,626.3,-1,584.6,-1
446.058,460.84,446.058,460.84,562959.8878,112.6,98.0,459.8,-1,468.5,-1,484.2,-1,541.1,-1,610.0,-1,623.9,-1,584.1,-1
451.971,457.884,437.191,443.104,528431.9043,113.1,104.60000000000001,453.0,-1,458.5,-1,475.9,-1,534.7,-1,606.2,-1,621.6,-1,583.5,-1
490.373,502.196,472.634,475.591,1297887.404,104.2,99.4,462.8,1,464.4,1,473.2,-1,529.6,-1,602.7,-1,619.8,-1,583.1,-1
493.329,505.152,487.416,505.152,392008.7345,103.60000000000001,97.0,478.6,1,468.5,1,471.5,-1,525.5,-1,599.6,-1,618.1,-1,582.9,-1
502.196,502.196,478.547,478.547,354093.5733,101.8,99.4,495.3,1,476.8,1,474.7,1,521.3,-1,596.5,-1,616.7,-1,582.7,-1
