Close,High,Low,Open,Volume,predicted_up_rate,predicted_Low_rate,Close_3ma,Close_3ma_positive,Close_5ma,Close_5ma_positive,Close_10ma,Close_10ma_positive,Close_25ma,Close_25ma_positive,Close_60ma,Close_60ma_positive,Close_100ma,Close_100ma_positive,Close_200ma,Close_200ma_positive
658.757,664.67,643.975,643.975,358156.2566,100.0,96.89999999999999,656.8,-1,658.2,-1,654.0,1,656.3,-1,654.1,1,637.6,1,586.2,1
658.757,658.757,638.062,643.975,159782.7949,99.6,97.8,658.8,1,658.8,1,657.3,1,655.7,-1,654.5,1,638.9,1,586.7,1
655.801,664.67,643.975,643.975,373725.0511,98.6,98.2,657.8,-1,657.0,-1,658.8,1,654.9,-1,654.7,1,639.6,1,587.2,1
646.931,655.801,643.975,655.801,313469.9565,95.39999999999999,89.0,653.8,-1,655.8,-1,659.0,1,653.7,-1,654.5,-1,640.3,1,587.6,1
605.576,617.398,576.042,617.398,1270809.282,102.0,97.6,636.1,-1,645.2,-1,652.0,-1,651.0,-1,653.6,-1,640.6,1,587.8,1
611.489,620.354,590.793,602.619,534524.321,101.0,98.5,621.3,-1,635.7,-1,646.9,-1,648.2,-1,652.8,-1,640.7,1,588.1,1
617.398,620.354,602.619,602.619,414014.1318,98.6,96.6,611.5,-1,627.4,-1,643.1,-1,645.4,-1,652.2,-1,641.1,1,588.4,1
596.706,614.445,596.706,614.445,541292.2432,102.0,100.49999999999999,608.5,-1,615.6,-1,636.3,-1,641.6,-1,651.5,-1,641.3,1,588.6,1
605.576,620.354,599.663,602.619,346646.9288,100.49999999999999,100.49999999999999,606.6,-1,607.3,-1,631.6,-1,638.7,-1,650.9,-1,641.6,1,588.9,1
608.532,626.267,608.532,608.532,468511.3458,97.6,96.1,603.6,-1,607.9,1,626.6,-1,637.0,-1,650.4,-1,642.2,1,589.0,1
516.947,516.947,490.373,505.152,916374.7388,104.0,97.7,500.2,1,498.6,1,489.5,1,488.5,1,550.1,-1,592.5,-1,580.2,1
537.643,537.643,505.152,505.152,1215289.159,97.8,97.3,518.9,1,506.9,1,496.6,1,491.6,1,548.6,-1,591.7,-1,580.3,1
525.817,546.512,522.86,534.686,952260.1667,97.8,97.2,526.8,1,512.8,1,501.9,1,493.7,1,546.7,-1,590.6,-1,580.5,1
513.991,528.773,511.034,522.86,633032.3296,98.9,98.9,525.8,-1,519.3,1,505.1,1,495.8,1,544.5,-1,589.4,-1,580.7,1
508.081,522.86,508.081,511.034,214286.4423,98.8,97.1,516.0,-1,520.5,1,507.2,1,498.3,1,541.7,-1,588.1,-1,580.9,1
502.196,511.034,493.329,496.283,539603.4794,99.4,99.4,508.1,-1,517.5,-1,508.1,1,500.3,1,539.1,-1,586.6,-1,581.1,1
499.239,508.081,499.239,499.239,397760.1817,100.0,98.8,503.2,-1,509.9,-1,508.4,1,500.6,1,536.5,-1,585.0,-1,581.2,1
499.239,505.152,493.329,502.196,323966.026,97.0,97.0,500.2,-1,504.5,-1,508.7,1,500.9,1,533.7,-1,583.7,-1,581.4,1
502.196,511.034,499.239,508.081,961736.5445,98.8,98.8,506.1,-1,505.7,1,496.6,1,508.8,-1,499.2,1,487.4,-1,490.8,1
496.283,505.152,496.283,496.283,396409.1706,99.4,95.8,499.2,-1,504.0,-1,497.8,1,506.6,-1,499.9,1,487.2,-1,490.9,1
490.373,502.196,484.46,490.373,574472.4323,101.8,98.8,488.4,-1,493.3,-1,498.1,-1,502.1,-1,500.8,1,487.4,1,490.9,1
484.46,499.239,484.46,499.239,323625.0565,103.1,100.0,484.5,-1,490.4,-1,497.2,-1,500.1,-1,501.1,1,487.9,1,491.0,1
493.329,499.239,484.46,493.329,392346.4873,101.2,98.2,489.4,1,488.6,-1,497.2,-1,498.2,-1,501.6,1,488.5,1,491.2,1
499.239,499.239,484.46,490.373,246781.4757,99.4,97.6,492.3,1,489.2,1,496.6,-1,496.6,-1,502.0,1,489.1,1,491.4,1
496.283,499.239,487.416,493.329,298576.6676,97.0,97.0,496.3,1,492.7,1,495.7,-1,495.8,-1,502.3,1,489.7,1,491.6,1
502.196,502.196,490.373,493.329,1028087.272,100.0,97.1,479.5,1,473.2,1,460.5,1,453.0,1,464.7,-1,482.5,1,484.2,1
502.196,508.081,499.239,505.152,582256.8295,100.6,99.4,499.2,1,484.5,1,467.9,1,465.1,1,458.9,1,477.1,-1,483.2,1
522.86,525.817,511.034,511.034,980695.7334,101.69999999999999,99.4,513.0,1,506.3,1,501.9,1,481.6,1,465.8,1,473.7,-1,482.5,1
525.817,528.773,519.904,525.817,542311.9349,101.1,100.0,519.9,1,513.4,1,504.0,1,482.6,1,466.7,1,473.8,1,482.6,1
540.599,540.599,516.947,522.86,1091729.545,106.60000000000001,97.8,525.8,1,525.8,1,522.9,1,509.4,1,477.6,1,476.6,1,482.1,1
531.73,537.643,528.773,528.773,386929.5761,108.3,100.6,531.7,1,527.0,1,522.9,-1,512.1,1,478.9,1,477.0,1,482.2,1
543.555,549.437,534.686,534.686,678735.1048,106.5,100.0,538.6,1,530.5,1,524.9,1,514.2,1,480.0,1,477.5,1,482.4,1
564.216,573.085,543.555,543.555,855103.1692,103.69999999999999,101.0,546.5,1,540.6,1,530.2,1,516.6,1,481.6,1,478.2,1,482.7,1
576.042,584.911,570.129,573.085,995251.2696,101.49999999999999,95.39999999999999,561.3,1,551.2,1,536.2,1,519.6,1,483.6,1,478.9,1,483.1,1
561.262,567.173,549.437,549.437,514551.8737,107.4,102.1,567.2,1,555.4,1,540.6,1,521.8,1,485.4,1,479.5,1,483.5,1
578.998,584.911,573.085,573.085,912653.0249,104.60000000000001,99.0,572.1,1,564.8,1,545.9,1,525.1,1,487.6,1,480.1,1,483.9,1
